ID,Universe#,ControllerID,Output#,Name,Location,Comment,Active,Type,Color,ColorName
187,3,12,13,=Burst- Ground- Rear- Left- L13,Ground Rear Left,,True,18,#FFFF00,Yellow
188,3,12,14,=Burst- Ground- Rear- Left- L14,Ground Rear Left,,True,22,#FF00FF,Fuchsia
189,3,12,15,=Burst- Ground- Rear- Left- L15,Ground Rear Left,,True,22,#00FF00,Green
190,3,12,16,=Burst- Ground- Rear- Left- L16,Ground Rear Left,,True,18,#0000FF,Blue
191,3,13,1,=Burst- Ground- Rear- Right- L01,Ground Rear Right,,True,22,#00FF40,SpringGreen
192,3,13,2,=Burst- Ground- Rear- Right- L02,Ground Rear Right,,True,22,#FF0000,Red
193,3,13,3,=Burst- Ground- Rear- Right- L03,Ground Rear Right,,True,22,#0000FF,Blue
194,3,13,4,=Burst- Ground- Rear- Right- L04,Ground Rear Right,,True,22,#FF8000,Orange
195,3,13,5,=Burst- Ground- Rear- Right- L05,Ground Rear Right,,True,18,#8000FF,DarkViolet
196,3,13,6,=Burst- Ground- Rear- Right- L06,Ground Rear Right,,True,18,#FF0000,Red
197,3,13,7,=Burst- Ground- Rear- Right- L07,Ground Rear Right,,True,22,#FFFF00,Yellow
198,3,13,8,=Burst- Ground- Rear- Right- L08,Ground Rear Right,,True,18,#0000FF,Blue
199,3,13,9,=Burst- Ground- Rear- Right- L09,Ground Rear Right,,True,22,#00FF00,Green
200,3,13,10,=Burst- Ground- Rear- Right- L10,Ground Rear Right,,True,22,#8000FF,DarkViolet
201,3,13,11,=Burst- Ground- Rear- Right- L11,Ground Rear Right,,True,22,#FF8000,Orange
202,3,13,12,=Burst- Ground- Rear- Right- L12,Ground Rear Right,,True,22,#FF0000,Red
203,3,13,13,=Burst- Ground- Rear- Right- L13,Ground Rear Right,,True,18,#FFFF00,Yellow
204,3,13,14,=Burst- Ground- Rear- Right- L14,Ground Rear Right,,True,22,#FF00FF,Fuchsia
205,3,13,15,=Burst- Ground- Rear- Right- L15,Ground Rear Right,,True,22,#00FF00,Green
206,3,13,16,=Burst- Ground- Rear- Right- L16,Ground Rear Right,,True,18,#0000FF,Blue
207,3,14,1,=Burst- Roof- Left- L01,Roof Left,,True,22,#00FF40,SpringGreen
208,3,14,2,=Burst- Roof- Left- L02,Roof Left,,True,22,#FF0000,Red
209,3,14,3,=Burst- Roof- Left- L03,Roof Left,,True,22,#0000FF,Blue
210,3,14,4,=Burst- Roof- Left- L04,Roof Left,,True,22,#FF8000,Orange
211,3,14,5,=Burst- Roof- Left- L05,Roof Left,,True,18,#8000FF,DarkViolet
212,3,14,6,=Burst- Roof- Left- L06,Roof Left,,True,18,#FF0000,Red
213,3,14,7,=Burst- Roof- Left- L07,Roof Left,,True,22,#FFFF00,Yellow
214,3,14,8,=Burst- Roof- Left- L08,Roof Left,,True,18,#0000FF,Blue
215,3,14,9,=Burst- Roof- Left- L09,Roof Left,,True,22,#00FF00,Green
216,3,14,10,=Burst- Roof- Left- L10,Roof Left,,True,22,#8000FF,DarkViolet
217,3,14,11,=Burst- Roof- Left- L11,Roof Left,,True,22,#FF8000,Orange
218,3,14,12,=Burst- Roof- Left- L12,Roof Left,,True,22,#FF0000,Red
219,3,14,13,=Burst- Roof- Left- L13,Roof Left,,True,18,#FFFF00,Yellow
220,3,14,14,=Burst- Roof- Left- L14,Roof Left,,True,22,#FF00FF,Fuchsia
221,3,14,15,=Burst- Roof- Left- L15,Roof Left,,True,22,#00FF00,Green
222,3,14,16,=Burst- Roof- Left- L16,Roof Left,,True,18,#0000FF,Blue
223,3,15,1,=Burst- Roof- Right- L01,Roof Right,,True,22,#00FF40,SpringGreen
224,3,15,2,=Burst- Roof- Right- L02,Roof Right,,True,22,#FF0000,Red
225,3,15,3,=Burst- Roof- Right- L03,Roof Right,,True,22,#0000FF,Blue
226,3,15,4,=Burst- Roof- Right- L04,Roof Right,,True,22,#FF8000,Orange
227,3,15,5,=Burst- Roof- Right- L05,Roof Right,,True,18,#8000FF,DarkViolet
228,3,15,6,=Burst- Roof- Right- L06,Roof Right,,True,18,#FF0000,Red
229,3,15,7,=Burst- Roof- Right- L07,Roof Right,,True,22,#FFFF00,Yellow
230,3,15,8,=Burst- Roof- Right- L08,Roof Right,,True,18,#0000FF,Blue
231,3,15,9,=Burst- Roof- Right- L09,Roof Right,,True,22,#00FF00,Green
232,3,15,10,=Burst- Roof- Right- L10,Roof Right,,True,22,#8000FF,DarkViolet
233,3,15,11,=Burst- Roof- Right- L11,Roof Right,,True,22,#FF8000,Orange
234,3,15,12,=Burst- Roof- Right- L12,Roof Right,,True,22,#FF0000,Red
235,3,15,13,=Burst- Roof- Right- L13,Roof Right,,True,18,#FFFF00,Yellow
236,3,15,14,=Burst- Roof- Right- L14,Roof Right,,True,22,#FF00FF,Fuchsia
237,3,15,15,=Burst- Roof- Right- L15,Roof Right,,True,22,#00FF00,Green
238,3,15,16,=Burst- Roof- Right- L16,Roof Right,,True,18,#0000FF,Blue
239,2,16,1,%Nativity Jesus Mary Joseph,In the manger,,True,17,#0080C0,DarkCyan
240,2,16,8,%Lasers- Driveway (RG),,,True,3,#800000,Maroon
241,2,16,9,%Lasers- Street (RG),,,True,3,#800000,Maroon
242,2,16,11,%Swirlies- Driveway (RGB),,,True,2,#400000,Black
243,2,16,12,%Swirlies- Manger Stars (RWB),Shining on the manger scene,,True,2,#0080C0,DarkCyan
244,2,16,13,%Swirlies- Oak (RGB),Oak tree right yard,,True,2,#400000,Black
245,2,16,14,%Swirlies- Pine (GO),,,True,2,#008000,Green
246,2,16,15,%Swirlies- Street (M),Shining on the street,,True,2,#804040,SaddleBrown
247,2,17,1,BAD TRIAC! Controller N Output 1,Output 1 of Controller N,Damaged by ants and not repairable,False,23,#000000,Black
248,2,17,2,Bushes 5.1 {R} (R),,,True,22,#FF0000,Red
249,2,17,3,Bushes 5.2 {R} (G),,,True,22,#00FF00,Green
250,2,17,4,Bushes 5.3 {R} (B),,,True,22,#0000FF,Blue
251,2,17,5,Bushes 5.4 {R} (W),,,True,22,#FFFFFF,Transparent
252,2,17,6,Bushes 5.5 {R} (V),,,True,22,#8000FF,DarkViolet
253,2,17,7,Bushes 5.6 {R} (M),,,True,22,#804040,SaddleBrown
254,2,17,8,Strobes- C9 Bushes {R} (W),Right Bushes,,True,5,#FFFFFF,Transparent
255,2,17,9,Spare N9,Controller N Output 9,,False,18,#C0C0C0,Silver
256,2,17,10,Spare N10,Controller N Output 10,,False,18,#C0C0C0,Silver
257,2,17,11,Spare N11,Controller N Output 11,,False,18,#C0C0C0,Silver
258,2,17,12,Spare N12,Controller N Output 9,,False,18,#C0C0C0,Silver
259,2,17,13,Eaves Chase (R),Under the Eaves,,True,22,#FF0000,Red
260,2,17,14,Eaves Chase (G),Under the Eaves,,True,22,#00FF00,Green
261,2,17,15,Eaves Chase (B),Under the Eaves,,True,22,#0000FF,Blue
262,2,17,16,Eaves Chase (W),Under the Eaves,,True,22,#FFFFFF,Transparent
263,2,18,1,Big Nick Inside (W),On top of the chimney,,True,16,#FFFFFF,Transparent
264,2,18,2,Swirlies- Big Nick Fire (RO),On Big Nick on top of the Chimney,,True,2,#FF3900,OrangeRed
