ID,Universe,Controller,Output,Name,Location,Comment,Active,Type,Color
107,1,8,13,Spare E13,Middle Bushes,,False,18,#C0C0C0
108,1,8,14,Spare F14,,,True,18,#C0C0C0
109,1,8,15,Spare F15,,,True,18,#C0C0C0
110,1,8,16,Penguins,,,True,17,#FFFFFF
111,1,9,1,Candy Canes 1 (R),Perimeter of yard,,True,8,#FF0000
112,1,9,2,Candy Canes 2 (G),Perimeter of yard,,True,8,#00FF00
113,1,9,3,Candy Canes 3 (R),Perimeter of yard,,True,8,#FF0000
114,1,9,4,Candy Canes 4 (G),Perimeter of yard,,True,8,#00FF00
115,1,9,5,Countdown Timer (B),Right of main yard,,True,2,#0000FF
116,1,9,6,Flying Spaghetti Monster (W),,,True,13,#FFFFFF
117,1,9,7,Snowman Lamp Inflatable,Front Yard,,True,16,#FFFFFF
118,1,9,8,Spare F08,,,True,18,#C0C0C0
119,1,9,9,Yule Log (O),,,True,7,#FF8000
120,1,9,10,Snow Lake (W),,,True,22,#FFFFFF
121,1,9,11,Spare F11,,,True,18,#C0C0C0
122,1,9,12,!Bad Triac!,Bad Triac #12,,True,28,#C0C0C0
123,1,9,13,Work Together 1 (R),Controller E Output 14,,False,20,#FF0000
124,1,9,14,Work Together 2 (W),"Controller E, Output 15",,False,20,#FFFFFF
125,1,9,15,Work Together 3 (B),Controller E Output 16,Power to controllers in Universe 2 in the Garage and on the Right side of the display.,True,20,#0000FF
126,1,9,16,Work Together 4 Swirly Stars (RWB),Front Yard,"Actually RWB, not RGB",True,2,#804040
127,3,10,1,=Burst- Ground- Front- Left- L01,Ground Front Left,,True,22,#00FF40
128,3,10,1,$Tree- Pencil 01- Red (R) {L},Yard Rear Left,,True,22,#00FF40
129,3,10,2,=Burst- Ground- Front- Left- L02,Ground Front Left,,True,22,#FF0000
130,3,10,2,$Tree- Pencil 02- Green (G),Yard Rear Left,,True,22,#FF0000
131,3,10,3,=Burst- Ground- Front- Left- L03,Ground Front Left,,True,22,#0000FF
132,3,10,3,$Tree- Pencil 03- Blue (B),Yard Rear Left,,True,22,#0000FF
133,3,10,4,=Burst- Ground- Front- Left- L04,Ground Front Left,,True,22,#FF8000
134,3,10,4,$Tree- Pencil 04- Pink (P) {F},Yard Rear Left,,True,22,#FF8000
135,3,10,5,=Burst- Ground- Front- Left- L05,Ground Front Left,,True,18,#8000FF
136,3,10,5,$Tree- Pencil 05- Silver (W),Yard Rear Left,,True,18,#8000FF
137,3,10,6,=Burst- Ground- Front- Left- L06,Ground Front Left,,True,18,#FF0000
138,3,10,6,$Tree- Pencil 06- Rainbow (M) {CL},Yard Rear Left,,True,18,#FF0000
139,3,10,7,=Burst- Ground- Front- Left- L07,Ground Front Left,,True,22,#FFFF00
140,3,10,7,$Tree- Pencil 07- Italian (RWG) {CF},Yard Rear Left,,True,22,#FFFF00
141,3,10,8,=Burst- Ground- Front- Left- L08,Ground Front Left,,True,18,#0000FF
142,3,10,8,$Tree- Pencil 08- Gold (O),Yard Rear Left,,True,18,#0000FF
143,3,10,9,=Burst- Ground- Front- Left- L09,Ground Front Left,,True,22,#00FF00
144,3,10,9,$Tree- Pencil 09- Gold (O),Yard Rear Left,,True,22,#00FF00
145,3,10,10,=Burst- Ground- Front- Left- L10,Ground Front Left,,True,22,#8000FF
146,3,10,10,$Tree- Pencil 10- Italian (RWG) {CB},Yard Rear Left,,True,22,#8000FF
147,3,10,11,=Burst- Ground- Front- Left- L11,Ground Front Left,,True,22,#FF8000
148,3,10,11,$Tree- Pencil 11- Rainbow (M) {CR},Yard Rear Left,,True,22,#FF8000
149,3,10,12,=Burst- Ground- Front- Left- L12,Ground Front Left,,True,22,#FF0000
